PID,Value,Year Built,Size
100924000,290482,1900,2221
100926000,670871,1839,5728
100927000,245000,1920,1232
100928000,507500,1910,1875
100929000,0,1900,0
100929002,388294,1900,1026
100929004,387661,1900,1022
100929006,406633,1900,1131
100930000,0,1900,0
100930002,376911,2015,852
100930004,365949,2015,893
100930006,378702,2015,893
100931000,328954,1900,2717
100932000,266768,1910,1955
100933000,422654,1900,3213
100934000,311668,1900,1527
100936000,496223,1900,4068
100937000,1971250,1972,2624
100938000,491691,1910,4189
100939000,521941,1910,3522
100940000,426976,1910,3564
100941000,541124,1910,5250
100942000,443207,1910,3159
100943000,323367,1900,3195
100944000,491164,1910,2816
100945000,507396,1910,4679
100946000,321049,1970,2244
100947000,490637,1910,2901
100948000,704155,1910,3348
100949000,340000,1932,1416
100950000,521625,1900,3688
100951000,608158,1900,3608
100952000,520255,1900,3688
100953000,496645,1900,3688
100954000,467555,1900,3688
100955000,0,1965,55332
100955000,0,1899,6000
100957000,743808,1910,5819
100958000,592348,1910,5428
100959000,569898,1910,5395
100960000,680462,1875,3513
100961000,570109,1910,3518
100962000,555247,1925,5180
100963000,542072,1910,3788
100965000,0,1899,3400
100970000,0,2006,0
100970002,427397,2006,941
100970004,423181,2006,941
100970006,406001,2006,941
100970008,427502,2006,942
100970010,423603,2006,942
100970012,424762,2006,942
100970014,426027,2006,933
100970016,422232,2006,933
100970018,423392,2006,933
100970050,581914,1910,3030
100972000,415803,1938,2297
100973000,504655,1910,4686
100974000,520781,1910,4710
100975000,253066,1910,2562
100976000,303974,1890,3196
100978000,487475,1910,3726
100980000,665707,1899,5911
100981000,623020,1920,5215
100982000,554299,1910,5526
100983000,601623,1910,5383
100984000,635878,1910,5381
100985000,789552,1910,5765
100986000,606050,1910,5304
100987000,591083,1910,5304
100988000,637038,1910,5596
100989000,611531,1910,5460
101007010,0,2006,0
101007012,426659,2006,1025
101007014,431402,2006,1029
101007016,453853,2006,1100
101007020,0,2006,0
101007022,432140,2006,1025
101007024,436883,2006,1029
101007026,436883,2006,1029
101007030,0,2006,0
101007032,435408,2006,1025
101007034,450901,2006,1029
101007036,451639,2006,1100
101007040,0,2006,0
101007042,345923,2006,638
101007044,518252,2006,1302
101008000,312827,1914,1495
101009000,598672,1910,4296
101010000,451955,1910,2397
101011000,627552,1900,4990
101012000,737484,1900,4748
101013000,498858,1900,5515
101014000,651161,1900,5424
101015000,522152,1900,4731
101016000,561466,1910,4686
101017000,499701,1900,4749
101018000,592664,1900,5045
101021000,520992,1900,3306
101022000,484102,1900,3369
101023000,881671,1910,7914
101024000,714085,1900,7060
101025000,485262,1900,3771
101026000,0,1900,0
101026002,462706,1900,1147
101026004,467871,1900,1217
101026006,475987,1900,1278
101026010,0,2007,0
101026012,482521,2007,1280
101026014,423814,2007,1280
101026016,507712,2007,1280
101026060,0,1900,0
101026062,344026,1900,1129
101026064,350666,1900,1169
101026066,351298,1900,1174
101027000,553877,1900,4236
101028000,560201,1915,4392
101029000,523627,1900,4374
101030000,652004,1900,4410
101031000,489478,1900,4392
101032000,521519,1900,4413
101033000,0,1900,0
101033002,321997,1900,1048
101033004,348242,1900,844
101033006,313354,1900,905
101033008,366898,1900,910
101034000,387556,1960,3304
101035000,514563,1960,2395
101036000,272353,1920,2080
101037000,227664,1900,1794
101038000,227031,1900,1966
101039000,237256,1900,1884
101040000,286899,1900,1680
101041000,280891,1900,2409
101042000,572533,1900,4644
101043000,620911,1900,3564
101046000,448477,1900,3105
101047000,411376,1900,2614
101048000,224080,1900,1684
101049000,546288,1910,4338
101050000,650107,1900,4779
101051000,285107,1918,2629
101052000,0,2012,0
101052002,438675,2013,1109
101052004,567790,2012,1417
101053000,286056,1920,1828
101054000,484840,1900,3812
101055000,477357,1900,3442
101056000,442575,1899,3146
101057000,482943,1900,3323
101058000,505288,1900,3323
101059000,746865,1900,4752
101060000,778379,1900,4424
101061000,285634,1900,2441
101062000,578330,1900,5472
101063000,655483,1916,5572
